0	10568,11419,3672,7414,7120,3685,9474,8730,9954,10498,7568,11262,11261,8151,7545,7569,12827,7562,9444,7642,7643,7595,7561,3186
2	12910,12520,13416,13401,13462,12893,5616,12218,13395,13329,12219,13505
3	9122
5	11859,11564
6	6001,10641,86,6862,10955,10944,3173,10687
8	1988
9	11491,7234,10778,119,497,3037,8701,7477,498,6803,165,7533,12098,12104,3045,7418,7948,496,7485,7450,7415,7475,432,431,430,429,428,427,426,7028,4564,6973,2030
10	5723
11	11379,7482,11381,6750,11386,11229,11387
12	6302,7665,7420,7759,2560,11146,1573,45,1585,10484,2784,7777,7780,6381,1580,4270,11491,3019,2508,7935,7947,3832,3286,10833,4550,3146,10568,3635,5643,7940,9675,5770,10455,3916,412,5749,6204,13514,9090,9089,9075,2595,5975,6156,6396,7466,6714,7930,3067,6579,6340,6328,2305,3037,8945,7971,470,3918,8731,6164,4138,142,4113,8732,11071,3112,3122,6783,6745,2098,4045,1811,473,338,4022,696,11121,3571,9647,533,11360,3968,7586,484,9466,11216,5747,11268,6574,9307,415,11269,10684,10462,8177,10464,6685,6365,9439,3015,8939,1177,1349,8927,8941,418,2188,8954,835,4139,3995,354,8042,12108,4561,3059,5072,8757,6305,4760,2596,7523,12346,4800,6723,9643,6724,3102,9294,9440,6130,3946,9660,10617,386,6952,2505,6008,6120,385,6943,131,6441,511,6129,2424,7291,10841,10676,12302,6593,8789,3318,2416,5678,9308,416,10868,663,1347,1267,7539,7538,8038,1441,6295,3325,7823,9831,1582,7931,6309,3156,11150,6311,9323,6353,6310,3522,2429,9425,6578,42,1085,6445,2626,6709,9145,6915,9178,1274,2367,7296,9261,11591,6914,9767,2819,941,2572,7832,4546,7892,6029,8093,725,2594,12448,724,5853,2509,9447,2792,6725,10015,10914,3792,3770,6527,517,8786,3682,286,3665,5409,5349,1025,11097,10707,10705,4818,10469,3942,5265,10470,10915,5247,10706,718,10116,5626,5003,3877,5996,2289,5611,2975,4611,12855,6175,5624,4622,9245,7467,6119,7100,12782,2590,7500,6557,10156,10385,9506,9379,6836,10851,5081,2322,9508,1287,10384,7495,11537,2093,7486,309,308,7445,1334,1321,9380,11186,10959,7428,11131,8012,9032,603,13516,13515,12199,12198,12113,12112,3859,3858,2830,936,3786,940,939,938,12118,13510,12002,2512,1514,12000,11997,1048,937,2847,12001,11998,2140,11995,11993,11991,2850,4268,1243,11996,11994,11992,11999,13588,7230,1423,9711,9708,7556,9712,9709,1899,1104,9706,9704,9702,2832,2834,9707,9705,9703,9710,684,2824,2826,2231,2835,9446,2828,2825,2827,9452,6751,9083,2829,9084,6921,2831,2833,7727,9754,8943,9755,577,3039,3038,578,7385,9618,6014,4267,4216,9437,334,1020,335,1280,461,3049,5676,7557,305,5677,3827,12116,2837,6878,7957,5652,2838,10616,3949,2836,7954,7462,7459,7461,7955,1241,7463,7465,7464,7460,6472,6426,366,1242,6159,7438,6158,795,6707,7505,6583,12303,7499,12110,5653,1919,6155,27,1656,1655,7829,3295,3296,683,2849,3276,11327,11164,1506,2109,7834,1949,10835,10834,6987,902,6657,8750,7993,6282,769,10480,2343,10479,12795,7994,310,4210,9297,10482,11133,1417,1882,10475,8752,5947,10450,10473,9445,2754,2756,12797,8081,1011,8736,1487,9493,6
